owner/repo-name,reason
k88hudson/git-flight-rules,no_releases_no_tags
lukasz-madon/awesome-remote-job,no_releases_no_tags
NanmiCoder/MediaCrawler,no_releases_no_tags
zai-org/ChatGLM-6B,no_releases_no_tags
bailicangdu/vue2-elm,no_releases_no_tags
dylanaraps/pure-bash-bible,no_releases_no_tags
byoungd/English-level-up-tips,no_releases_no_tags
DIYgod/RSSHub,no_releases_no_tags
chubin/cheat.sh,no_releases_no_tags
LC044/WeChatMsg,no_releases_no_tags
bradtraversy/50projects50days,no_releases_no_tags
QSCTech/zju-icicles,no_releases_no_tags
remoteintech/remote-jobs,no_releases_no_tags
karanpratapsingh/system-design,no_releases_no_tags
google-research/bert,no_releases_no_tags
karpathy/nanochat,no_releases_no_tags
floodsung/Deep-Learning-Papers-Reading-Roadmap,no_releases_no_tags
DataExpert-io/data-engineer-handbook,no_releases_no_tags
freefq/free,no_releases_no_tags
suno-ai/bark,no_releases_no_tags
google/styleguide,no_releases_no_tags
goabstract/Awesome-Design-Tools,no_releases_no_tags
freeCodeCamp/devdocs,no_releases_no_tags
imputnet/cobalt,no_releases_no_tags
FreeCodeCampChina/freecodecamp.cn,no_releases_no_tags
huihut/interview,no_releases_no_tags
eugenp/tutorials,no_releases_no_tags
0voice/interview_internal_reference,no_releases_no_tags
google-research/google-research,no_releases_no_tags
inkonchain/docs,no_releases_no_tags
AobingJava/JavaFamily,no_releases_no_tags
inkonchain/ink-kit,no_releases_no_tags
kilimchoi/engineering-blogs,no_releases_no_tags
PatrickJS/awesome-cursorrules,no_releases_no_tags
open-guides/og-aws,no_releases_no_tags
PKUanonym/REKCARC-TSC-UHT,no_releases_no_tags
alebcay/awesome-shell,no_releases_no_tags
formulahendry/955.WLB,no_releases_no_tags
karpathy/LLM101n,no_releases_no_tags
XingangPan/DragGAN,no_releases_no_tags
fengdu78/Coursera-ML-AndrewNg-Notes,no_releases_no_tags
geekxh/hello-algorithm,no_releases_no_tags
opentofu/manifesto,no_releases_no_tags
myshell-ai/OpenVoice,no_releases_no_tags
jondot/awesome-react-native,no_releases_no_tags
chatanywhere/GPT_API_free,no_releases_no_tags
unknwon/the-way-to-go_ZH_CN,no_releases_no_tags
deepseek-ai/awesome-deepseek-integration,no_releases_no_tags
sorrycc/awesome-javascript,no_releases_no_tags
geekan/HowToLiveLonger,no_releases_no_tags
geekcomputers/Python,no_releases_no_tags
xitu/gold-miner,no_releases_no_tags
chenfei-wu/TaskMatrix,no_releases_no_tags
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,no_releases_no_tags
DataTalksClub/data-engineering-zoomcamp,no_releases_no_tags
xkcoding/spring-boot-demo,no_releases_no_tags
TheAlgorithms/JavaScript,no_releases_no_tags
alan2207/bulletproof-react,no_releases_no_tags
mouredev/Hello-Python,no_releases_no_tags
TheAlgorithms/C-Plus-Plus,no_releases_no_tags
lllyasviel/ControlNet,no_releases_no_tags
lib-pku/libpku,no_releases_no_tags
bayandin/awesome-awesomeness,no_releases_no_tags
GorvGoyl/Clone-Wars,no_releases_no_tags
DavidHDev/react-bits,no_releases_no_tags
pcottle/learnGitBranching,no_releases_no_tags
mckaywrigley/chatbot-ui,no_releases_no_tags
SerenityOS/serenity,no_releases_no_tags
ibraheemdev/modern-unix,no_releases_no_tags
google/comprehensive-rust,no_releases_no_tags
mli/paper-reading,no_releases_no_tags
ziadoz/awesome-php,no_releases_no_tags
awesome-foss/awesome-sysadmin,no_releases_no_tags
The-Run-Philosophy-Organization/run,no_releases_no_tags
kuchin/awesome-cto,no_releases_no_tags
openai/CLIP,no_releases_no_tags
yunjey/pytorch-tutorial,no_releases_no_tags
cursor/cursor,no_releases_no_tags
linexjlin/GPTs,no_releases_no_tags
Trinea/android-open-project,no_releases_no_tags
microsoft/Data-Science-For-Beginners,no_releases_no_tags
0xAX/linux-insides,no_releases_no_tags
amix/vimrc,no_releases_no_tags
microsoft/MS-DOS,no_releases_no_tags
anthropics/skills,no_releases_no_tags
mathiasbynens/dotfiles,no_releases_no_tags
mqyqingfeng/Blog,no_releases_no_tags
donnemartin/interactive-coding-challenges,no_releases_no_tags
OWASP/CheatSheetSeries,no_releases_no_tags
nothings/stb,no_releases_no_tags
microsoft/calculator,no_releases_no_tags
ityouknow/spring-boot-examples,no_releases_no_tags
AMAI-GmbH/AI-Expert-Roadmap,no_releases_no_tags
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,no_releases_no_tags
anthropics/claude-cookbooks,no_releases_no_tags
Binaryify/NeteaseCloudMusicApi,no_releases_no_tags
tatsu-lab/stanford_alpaca,no_releases_no_tags
joshbuchea/HEAD,no_releases_no_tags
eriklindernoren/ML-From-Scratch,no_releases_no_tags
herrbischoff/awesome-macos-command-line,no_releases_no_tags
jobbole/awesome-python-cn,no_releases_no_tags
cfenollosa/os-tutorial,no_releases_no_tags
ageron/handson-ml2,no_releases_no_tags
AllThingsSmitty/css-protips,no_releases_no_tags
google-research/tuning_playbook,no_releases_no_tags
aosabook/500lines,no_releases_no_tags
sunface/rust-course,no_releases_no_tags
elsewhencode/project-guidelines,no_releases_no_tags
bigint/hey,no_releases_no_tags
realpython/python-guide,no_releases_no_tags
Pierian-Data/Complete-Python-3-Bootcamp,no_releases_no_tags
feder-cr/Jobs_Applier_AI_Agent_AIHawk,no_releases_no_tags
lukehoban/es6features,no_releases_no_tags
meta-llama/llama3,no_releases_no_tags
kodecocodes/swift-algorithm-club,no_releases_no_tags
wuyouzhuguli/SpringAll,no_releases_no_tags
CSSEGISandData/COVID-19,no_releases_no_tags
wesbos/JavaScript30,no_releases_no_tags
nvim-lua/kickstart.nvim,no_releases_no_tags
abhisheknaiidu/awesome-github-profile-readme,no_releases_no_tags
donnemartin/data-science-ipython-notebooks,no_releases_no_tags
ashishps1/awesome-system-design-resources,no_releases_no_tags
ZuzooVn/machine-learning-for-software-engineers,no_releases_no_tags
